Всего по аэропорту;7964
Грузовой Комплекс;2046
ГК Чиллеры;1786
ГК Вентиляция;1788
ГК Наружное освещение;3282
Терминал А;2098
А Чиллеры;2097
А Вентиляция;2099
А2 ПВ-4П;6660
А2 ПВ-4В;3987
А2 ПВ-5П;6657
А2 ПВ-5В;6658
А1 ПВ-6 П;5963
А1 ПВ-6 В;5962
А Калориферы П-8 П-9 П-10;2180
А Телетрап № 15 отопление;3306
А Наружное освещение;3276
А Внутреннее освещение (примерно 85%);6386
Терминал B;1699
B Чиллеры;1764
B Вентиляция;1766
B ПВ-14;2610
B ПВ-21;2608
B ПВ-11П;6690
B ПВ-11В;6692
B ПВ-19П;6686
B ПВ-19В;6688
B ПВ-20П;6682
B ПВ-20В;6684
B Инфракрасное отопление галерей телетрапов;6391
B Освещение галерей телетрапов;6393
B Наружное освещение;1768
Наружное освещение (весь аэропорт);5758
